District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
KIPKELION,TOROTO,TULWOPMOI,1936,2001,3937,743,9.68,406.53,CHILCHILA,RIFT VALLEY
KAKAMEGA NORTH,CHEMUCHE,TUMBENI,1337,1358,2695,530,8,336.92,KABRAS EAST,WESTERN
THARAKA,MWANYANI,TUMBURA,1149,1241,2390,535,16.55,144.37,THARAKA CENTRAL,EASTERN
KEIYO,CHEMOIBON,TUMEIYO,1385,1364,2749,608,26.65,103.17,SOY,RIFT VALLEY
KEIYO,TUMEIYO,TUMEIYO,532,562,1094,221,4.53,241.39,METKEI,RIFT VALLEY
BOMET,KAPKESOSIO,TUMOI,1509,1691,3200,612,11.59,276.03,SIGOR,RIFT VALLEY
KITUI,KYANGWITHYA WEST,TUNGUTU,3412,3366,6778,1321,20.77,326.38,CENTRAL,EASTERN
WEST POKOT,NAKWIJIT,TUNOYO,234,297,531,117,12.57,42.23,SOOK,RIFT VALLEY
IMENTI NORTH,NTIMA,TUNTU,1736,1761,3497,1153,1.41,2472.6,MIRIGA MIERU W.,EASTERN
THARAKA,TUNYAI,TUNYAI,1957,2087,4044,943,32.7,123.66,THARAKA SOUTH,EASTERN
