District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
THARAKA,GITUMA,KAGUMA,840,854,1694,351,38.11,44.45,THARAKA CENTRAL,EASTERN
KIRINYAGA,MUTIRA,KAGUMO,1182,1279,2461,737,4.66,528.44,CENTRAL,CENTRAL
MERU SOUTH,MWONGE,KAGUMO,678,707,1385,373,2.54,546.11,MAGUMONI,EASTERN
MURANGA NORTH,KIRU,KAGUMO-INI,1777,2032,3809,1087,7.19,529.68,MATHIOYA,CENTRAL
MURANGA SOUTH,GAICHANJIRU,KAGUMO-INI,2796,2935,5731,1444,9.86,581.32,KANDARA,CENTRAL
MURANGA SOUTH,KAGUNDU-INI,KAGUNDU-INI,2426,2561,4987,1349,6.37,782.83,KANDARA,CENTRAL
HOMABAY,SOUTH KABUOCH,KAGURIA/KAMENYA,4910,5496,10406,2363,34.29,303.43,RIANA,NYANZA
MURANGA SOUTH,MUTHITHI,KAGURUMO,2355,2549,4904,1220,9.95,492.81,MARAGUA,CENTRAL
MURANGA SOUTH,ITHIRU,KAGUTHI,2885,3224,6109,1552,8.74,699.28,KANDARA,CENTRAL
NYERI NORTH,IRIAINI,KAGUYU,2467,2662,5129,1531,10.36,495.08,MATHIRA,CENTRAL
KIRINYAGA,MUTIRA,KAGUYU,2267,2518,4785,1316,7.11,672.71,CENTRAL,CENTRAL
KIRINYAGA,KERUGOYA,KAGUYU,8195,9356,17551,5667,9.99,1757.45,CENTRAL,CENTRAL
RARIEDA,WEST UYOMA,KAGWA,3214,3439,6653,1501,13.57,490.31,MADIANY,NYANZA
RACHUONYO,RAMBIRA,KAGWA,1257,1316,2573,573,5.76,446.38,EAST KARACHUONYO,NYANZA
LARI,GATAMAIYU,KAGWE,4221,4405,8626,2357,15.01,574.53,GATAMAIYU,CENTRAL
MURANGA SOUTH,KAMAHUHA,KAHARATI,2328,2472,4800,1242,9.38,511.79,MAKUYU,CENTRAL
MURANGA SOUTH,KAHUMBU,KAHARIRO,1234,1466,2700,738,4.96,544.42,MARAGUA,CENTRAL
NYERI SOUTH,THANU,KAHARO,1292,1414,2706,744,6.12,442.15,MUKURWEINI,CENTRAL
MURANGA SOUTH,NGINDA,KAHARO,1777,1986,3763,1004,6.62,568.2,MARAGUA,CENTRAL
RUIRU,KAHAWA SUKARI,KAHAWA SUKARI,4065,4679,8744,1986,4.42,1977.16,GITHURAI,CENTRAL
RUIRU,KAHAWA SUKARI,KAHAWA WENDANI,7940,8771,16711,5891,1.13,14735.03,GITHURAI,CENTRAL
NAIROBI NORTH,KAHAWA,KAHAWA WEST,13066,9972,23038,6074,5.13,4486.99,KASARANI,NAIROBI
KILIFI,DIDA,KAHINGONI,434,533,967,153,7.67,126.08,VITENGENI,COAST
GATUNDU,NGENDA,KAHUGUINI,2897,2902,5799,1547,8.41,689.55,GATUNDU,CENTRAL
KIKUYU,MUGUGA,KAHUHO,3672,3654,7326,1838,6.06,1208.89,KABETE,CENTRAL
LAIKIPIA WEST,OLMORAN,KAHUHO,1018,1087,2105,513,61.82,34.05,OLMORAN,RIFT VALLEY
KAJIADO NORTH,LEMELEPO,KAHUHO,3205,3120,6325,1834,6.12,1033.21,NGONG,RIFT VALLEY
MURANGA NORTH,MUGOIRI,KAHURO,3398,3886,7284,2147,12.65,575.78,KAHURO,CENTRAL
NYANDARUA SOUTH,ENGINEER,KAHURU MURUAKI,10226,10577,20803,4990,95.51,217.81,KINANGOP NORTH,CENTRAL
NYERI NORTH,GAKAWA,KAHURURA,7981,8115,16096,5125,94.29,170.71,KIENI EAST,CENTRAL
MURANGA NORTH,WEITHAGA,KAHUTI,2307,2516,4823,1315,7.21,668.88,KAHURO,CENTRAL
KIBWEZI,MAKINDU,KAI,1424,1429,2853,730,29.91,95.38,MAKINDU,EASTERN
MACHAKOS,KATHIANI,KAIANI,2252,2465,4717,1108,10.99,429.17,KATHIANI,EASTERN
NANDI NORTH,LOLKERINGET,KAIBOI,1650,1674,3324,679,12.33,269.67,KABIYET,RIFT VALLEY
WEST POKOT,KAIBOS,KAIBOS,945,1001,1946,379,5.87,331.26,KAPENGURIA,RIFT VALLEY
IGEMBE,MAUA,KAIBU,5474,5993,11467,3362,2.08,5518.82,IGEMBE CENTRAL,EASTERN
NANDI NORTH,NDALAT,KAIGAT,1965,1977,3942,744,13.6,289.91,KIPKAREN,RIFT VALLEY
NYERI SOUTH,KARUNDU,KAIGURI,1183,1287,2470,669,3.67,672.95,TETU EAST,CENTRAL
NYERI SOUTH,CHINGA SOUTH,KAIGUTHU,1193,1313,2506,661,3.71,675.13,OTHAYA,CENTRAL
SIAYA,WEST ALEGO,KAIKADA URADI,1172,1487,2659,678,7.55,352.36,URANGA,NYANZA
KISUMU WEST,EAST SEME,KAILA,1669,1855,3524,839,11.1,317.62,MASENO,NYANZA
BARINGO,ILCHAMUS,KAILER,329,380,709,123,15.42,45.98,MARIGAT,RIFT VALLEY
TIGANIA,MITUNTU,KAILITHIRIA,688,790,1478,335,8.63,171.25,MITUNTU,EASTERN
KITUI,MUTONGUNI,KAIMU,3691,4434,8125,1773,28.28,287.35,MUTONGUNI,EASTERN
BARINGO NORTH,OSSEN,KAIMUGUL,1020,1039,2059,399,10.39,198.14,KABARTONJO,RIFT VALLEY
MT. ELGON,CHEPYUK,KAIMUGUL,3536,3403,6939,1131,18.79,369.31,KOPSIRO,WESTERN
IMENTI NORTH,NTHIMBIRI,KAING'INYO,1359,1355,2714,719,3.86,702.87,MIRIGA MIERU W.,EASTERN
TURKANA SOUTH,KAINUK,KAINUK,3936,3215,7151,900,186.52,38.34,KAINUK,RIFT VALLEY
NYERI NORTH,IRIAINI,KAIRA,1950,2172,4122,1219,6.05,680.89,MATHIRA,CENTRAL
IMENTI SOUTH,KIRINGA,KAIRAA,890,889,1779,457,2.83,629.4,ABOGETA,EASTERN
MURANGA NORTH,KAMACHARIA,KAIRI,1962,2143,4105,1169,7.37,556.69,MATHIOYA,CENTRAL
GATUNDU,KAIRI,KAIRI,1542,1619,3161,830,4.56,693.49,CHANIA,CENTRAL
MURANGA NORTH,KIRU,KAIRO,1719,1739,3458,944,9.71,356.26,MATHIOYA,CENTRAL
MWINGI,KIOMO,KAIRUNGU,2620,2868,5488,997,136.25,40.28,CENTRAL,EASTERN
EMBU,NGANDORI WEST,KAIRURI,1469,1550,3019,789,5,603.25,MANYATTA,EASTERN
NYERI SOUTH,IRIAINI,KAIRUTHI,1943,2049,3992,1118,8.08,494.03,OTHAYA,CENTRAL
KWANZA,KAISAGAT,KAISAGAT,3964,3927,7891,1544,41.22,191.45,KWANZA,RIFT VALLEY
MARAKWET,EMBOLOT,KAITAMOI,834,952,1786,433,17.58,101.59,TIRAP,RIFT VALLEY
TURKANA NORTH,NATAPAR,KAITEDE,2835,2322,5157,660,206.46,24.98,KIBISH,RIFT VALLEY
MWALA,WAMUNYU,KAITHA,1540,1612,3152,651,26.49,119.01,YATHUI,EASTERN
KIRINYAGA,KERUGOYA,KAITHERI,1966,2000,3966,1208,3.47,1141.69,CENTRAL,CENTRAL
LAIKIPIA WEST,MUTHENGERA,KAITI,2133,2286,4419,1088,19.1,231.31,RUMURUTI,RIFT VALLEY
KERICHO,KAITUI,KAITUI,577,576,1153,272,3.81,302.77,SOIN,RIFT VALLEY
KYUSO,TSEIKURU,KAIVIRYA,963,1024,1987,376,54.13,36.71,TSEIKURU,EASTERN
MANDERA CENTRAL,KUBIONILE,KAJAJA,4014,3189,7203,913,394.23,18.27,ASHABITO,NORTH EASTERN
TESO NORTH,AMONI,KAJEI,1706,1809,3515,801,4.52,777.4,AMAGORO,WESTERN
RACHUONYO,WANGCHIENG,KAJIEI,1971,2211,4182,905,14.77,283.05,EAST KARACHUONYO,NYANZA
NYANDO,OBOCH,KAJIMBO,3635,4082,7717,1675,18.79,410.77,UPPER NYAKACH,NYANZA
MERU SOUTH,KAJUKI,KAJUKI,1220,1415,2635,666,16.44,160.24,IGAMBANG'OMBE,EASTERN
HOMABAY,CENTRAL GEM,KAJULU,5345,5966,11311,2232,22.31,506.89,RANGWE,NYANZA
RONGO,WEST KANYAMKAGO,KAJULU I,4153,4338,8491,1630,27.96,303.73,URIRI,NYANZA
RONGO,WEST KANYAMKAGO,KAJULU I 'B',3559,3846,7405,1503,24.35,304.05,URIRI,NYANZA
RONGO,WEST KANYAMKAGO,KAJULU II,5212,5678,10890,2279,55.27,197.03,URIRI,NYANZA
HOMABAY,SOUTH KANYAMWA,KAJWANG,3237,3608,6845,1472,33.99,201.41,NDHIWA,NYANZA
KAKAMEGA EAST,KAK. FOREST,KAK. FOREST,51,32,83,22,225.59,0.37,KAK. FOREST,WESTERN
HOMABAY,NORTH KANYAMWA,KAKAETA,1101,1137,2238,466,9.13,245.24,NDHIWA,NYANZA
TESO NORTH,KAKAPEL,KAKAPEL,2683,2884,5567,1068,12.88,432.15,ANGURAI,WESTERN
KITUI,KAKEANI,KAKEANI,2092,2631,4723,1047,33.31,141.79,MUTONGUNI,EASTERN
TURKANA NORTH,YAPAKUNO,KAKELAE,1411,1097,2508,328,214.44,11.7,KAALENG,RIFT VALLEY
RACHUONYO,KAKELO,KAKELO DUDI,3665,3959,7624,1572,16.27,468.65,KASIPUL,NYANZA
MIGORI,CENTRAL KADEM,KAKELO KAKOTH,2056,2358,4414,927,19.52,226.09,NYATIKE,NYANZA
RACHUONYO,KAKELO,KAKELO KAMROTH,4164,4662,8826,1926,26.94,327.67,KASIPUL,NYANZA
TESO NORTH,CHAMASIRI,KAKEMER,1325,1358,2683,492,4.56,588.62,ANGURAI,WESTERN
NZAUI,ITHUMBA,KAKILI,796,873,1669,337,15.55,107.34,NGUU,EASTERN
TURKANA CENTRAL,LORENGELUP,KAKIMAT,896,983,1879,295,433.44,4.34,KERIO,RIFT VALLEY
KERICHO,KAPSUSER,KAKIPTUI,1158,1104,2262,499,3.07,737.75,BELGUT,RIFT VALLEY
MARAKWET,MOKORO,KAKIPTUL,398,382,780,193,16.97,45.96,TOT,RIFT VALLEY
MARAKWET,KAMOI,KAKISANGO,1648,1680,3328,651,11.29,294.77,KAPCHEROP,RIFT VALLEY
RONGO,NORTH SAKWA,KAKMASIA,2219,2513,4732,1032,16.15,293.02,AWENDO,NYANZA
NYANDO,ONJIKO,KAKMIE,2974,3289,6263,1327,23.1,271.1,NYANDO,NYANZA
MAKUENI,KAKO,KAKO,3348,3444,6792,1410,54.52,124.59,WOTE,EASTERN
MBOONI,WAIA,KAKO,1509,1696,3205,651,29.6,108.29,KISAU,EASTERN
RACHUONYO,KAKOTH KATENG,KAKOKO,1047,1149,2196,444,5.1,430.83,W.KARACHUONYO,NYANZA
NYANDO,KAKOLA,KAKOLA -OMBAKA,1644,1726,3370,710,4.79,703.8,NYANDO,NYANZA
NYANDO,KAKOLA,KAKOLA-AHERO,4513,5253,9766,2283,10.73,910.08,NYANDO,NYANZA
TESO NORTH,OKULEU,KAKOLI,1010,1086,2096,374,8.91,235.19,AMAGORO,WESTERN
MALINDI,JILORE,KAKONENI,2066,2425,4491,709,35.6,126.17,LANGOBAYA,COAST
TURKANA SOUTH,KAINUK,KAKONGU,1114,769,1883,268,615.18,3.06,KAINUK,RIFT VALLEY
RACHUONYO,KAKOTH KATAA,KAKOTH 'B',2058,2151,4209,928,12.89,326.56,W.KARACHUONYO,NYANZA
MIGORI,NORTH SUNA,KAKRAO,6640,7176,13816,2710,29.41,469.74,SUBA EAST,NYANZA
TURKANA SOUTH,LOCHAKULA,KAKULIT,1165,864,2029,264,632.34,3.21,LOKORI,RIFT VALLEY
MWINGI,NGUTANI,KAKULULO,1706,1929,3635,675,42.84,84.84,MIGWANI,EASTERN
YATTA,MATUU,KAKUMINI,2819,2982,5801,1229,34.78,166.81,YATTA,EASTERN
RACHUONYO,RAMULA,KAKUMU,696,803,1499,287,4.09,366.69,KABONDO,NYANZA
SIAYA,CENTRAL ALEGO,KAKUMU/KOMBEWA,1781,2022,3803,932,12.32,308.64,BORO,NYANZA
KITUI,MUSENGO,KAKUMUTI,851,1011,1862,427,9.13,203.88,MUTONGUNI,EASTERN
KAKAMEGA NORTH,CHESERO,KAKUNGA,3084,3235,6319,1333,9.22,685.01,KABRAS EAST,WESTERN
TESO NORTH,ANGURAI,KAKURIKIT,1580,1709,3289,599,6.81,482.89,ANGURAI,WESTERN
MBOONI,KITETA,KAKUSWI,2197,2416,4613,1070,20.06,229.99,KISAU,EASTERN
KYUSO,KAKUYU,KAKUYU,1258,1475,2733,526,73.05,37.41,MUMONI,EASTERN
MALINDI,GOSHI,KAKUYUNI,2204,2418,4622,670,24.31,190.12,MALINDI,COAST
MACHAKOS,KYANGALA,KAKUYUNI,1155,1299,2454,568,7.84,312.98,KALAMA,EASTERN
KANGUNDO,KAKUYUNI,KAKUYUNI,1987,2155,4142,1025,8.55,484.54,KAKUYUNI,EASTERN
BARINGO NORTH,KINYACH,KALABATA,614,623,1237,238,85.31,14.5,BARTABWA,RIFT VALLEY
CHALBI,KALACHA,KALACHA,3160,2832,5992,1318,818.68,7.32,MAIKONA,EASTERN
KINANGO,MWAVUNDO,KALALANI,5399,5791,11190,1781,61.62,181.6,KASEMENI,COAST
LAIKIPIA EAST,UMANDE,KALALU,2671,2657,5328,1540,21.82,244.17,DAIGA,RIFT VALLEY
MWALA,MIU,KALAMBA,1019,1223,2242,474,16.69,134.36,YATHUI,EASTERN
NZAUI,KALAMBA,KALAMBA,3523,3667,7190,1487,31.39,229.04,KALAMBA,EASTERN
MUTOMO,MUTHA,KALAMBANI,982,1046,2028,349,373.13,5.44,MUTHA,EASTERN
KANGUNDO,KALANDINI,KALANDINI,3635,3819,7454,1623,18.2,409.48,MATUNGULU,EASTERN
MWINGI,MBUVU,KALANGA,814,850,1664,304,45.12,36.88,NGUNI,EASTERN
HOMABAY,EAST KANYADA,KALANYA KANYANGO,6965,7562,14527,3188,30.24,480.41,ASEGO,NYANZA
TURKANA SOUTH,KALAPATA,KALAPATA,4612,4329,8941,907,617.53,14.48,LOKICHAR,RIFT VALLEY
POKOT NORTH,KALAPATA,KALAPATA,1164,1309,2473,401,36.88,67.06,ALALE,RIFT VALLEY
MBOONI,KALAWA,KALAWA,755,844,1599,351,21.85,73.18,KALAWA,EASTERN
MBOONI,KALAWANI,KALAWANI,4631,4761,9392,2036,36.87,254.75,TULIMANI,EASTERN
POKOT CENTRAL,SONDANY,KALE,1622,1790,3412,602,39.51,86.36,TAPACH,RIFT VALLEY
NANDI EAST,KIPSEBWO,KALEL,547,490,1037,251,2.85,363.74,NANDI HILLS,RIFT VALLEY
SAMBURU NORTH,MARTI,KALELE,463,404,867,171,143.37,6.05,BARAGOI,RIFT VALLEY
TURKANA SOUTH,KATILU,KALEMGOROK,4455,4076,8531,1241,453.71,18.8,KATILU,RIFT VALLEY
POKOT NORTH,LOKICHAR,KALEMNGOROK,1237,1296,2533,433,48.53,52.19,KACHELIBA,RIFT VALLEY
TURKANA CENTRAL,LORUGUM,KALEMUNYANG,4400,4266,8666,1250,450.18,19.25,TURKWEL,RIFT VALLEY
KITUI,MATINYANI,KALIA,1202,1065,2267,443,5.08,446.12,MATINYANI,EASTERN
MUTOMO,NDAKANI,KALIA KATUNE,1211,1385,2596,445,752.32,3.45,MUTHA,EASTERN
KALOLENI,RABAI,KALIANGOMBE /JIMBA,4518,4824,9342,1545,16.9,552.87,RABAI,COAST
MBOONI,KITHUNGO,KALIANI,2399,2650,5049,994,21.07,239.67,MBOONI,EASTERN
TIGANIA,KITHEO,KALIATI,1024,1142,2166,463,3.21,674.81,AKITHI,EASTERN
MANDERA CENTRAL,MADO,KALICHA,2842,2260,5102,651,30.31,168.3,RHAMU DIMTU,NORTH EASTERN
KIBWEZI,TWAANDU,KALII,1255,1265,2520,468,44.88,56.15,MAKINDU,EASTERN
NZAUI,KYEMUNDU,KALIINI,982,1017,1999,421,10.25,195.05,MULALA,EASTERN
MWINGI,MIGWANI,KALILUNI,999,1277,2276,493,19.87,114.56,MIGWANI,EASTERN
MACHAKOS,IVETI,KALILUNI,4303,4479,8782,1903,11.87,739.96,KATHIANI,EASTERN
IGEMBE,KANGETA,KALIMBENE,1702,1727,3429,705,6.85,500.34,IGEMBE NORTH,EASTERN
THIKA WEST,KALIMONI,KALIMONI,10165,9696,19861,6039,121.33,163.69,JUJA,CENTRAL
KITUI,KATHIVO,KALINDILO,456,501,957,230,8.01,119.42,MATINYANI,EASTERN
IGEMBE,KIENGU,KALINGENE,2600,2637,5237,1225,9.6,545.69,IGEMBE EAST,EASTERN
MWINGI,KANZANZU,KALISASI,832,985,1817,358,16.41,110.73,CENTRAL,EASTERN
MUTOMO,KALIVU,KALIVU,1713,1971,3684,665,118.4,31.12,ATHI,EASTERN
KYUSO,MUTANDA,KALIWA,712,862,1574,323,22.54,69.84,MUMONI,EASTERN
TESO SOUTH,KALIWA,KALIWA,1672,1824,3496,669,8.96,390.34,AMUKURA,WESTERN
TANA RIVER,KALKACHA,KALKACHA,674,529,1203,257,134.99,8.91,GALOLE,COAST
TURKANA NORTH,KALOBEYEI,KALOBEYEI,1462,1548,3010,529,267.92,11.23,OROPOI,RIFT VALLEY
TURKANA CENTRAL,KALOKOL,KALOKOL,5654,5826,11480,2311,384.16,29.88,KALOKOL,RIFT VALLEY
NAIROBI EAST,MAKONGENI,KALOLENI,4153,3608,7761,2536,0.61,12796.37,MAKADARA,NAIROBI
TAITA,VOI,KALOLENI,10998,9420,20418,5119,77.93,262.01,VOI,COAST
KISUMU EAST,TOWN,KALOLENI,6933,7873,14806,3658,2.1,7036.07,WINAM,NYANZA
KALOLENI,KALOLENI,KALOLENI VISHAKANI,8613,9121,17734,3166,26.6,666.57,KALOLENI,COAST
TURKANA SOUTH,KAPUTIR,KALOMWAE,2008,1626,3634,547,361.84,10.04,KAINUK,RIFT VALLEY
MAKUENI,KIKOKO,KALONGO,4753,5357,10110,2053,17.61,573.96,KILUNGU,EASTERN
TIGANIA,MULA,KALOTHERA,317,282,599,140,44.73,13.39,KARAMA,EASTERN
YATTA,MATUU,KALULUINI,3220,3266,6486,1353,46.15,140.54,YATTA,EASTERN
KITUI,TOWNSHIP,KALUNDU,2311,1869,4180,1341,2.42,1730.28,CENTRAL,EASTERN
MACHAKOS,KAEWA,KALUNGA,2256,2398,4654,1019,4.94,941.21,KATHIANI,EASTERN
KIBWEZI,KIKUMBULYU,KALUNGU,2299,2370,4669,936,22.93,203.62,KIBWEZI,EASTERN
KAKAMEGA SOUTH,SHIKUMU,KALUNI,1937,2254,4191,961,4.57,916.71,IKOLOMANI SOUTH,WESTERN
KITUI,NZANGATHI,KALUVA,4848,5149,9997,1968,87.96,113.65,CHULUNI,EASTERN
KYUSO,NGOMENI,KALWA,1059,1133,2192,404,75.65,28.98,NGOMENI,EASTERN
RACHUONYO,KAKDHIMU EAST,KALWAL,180,193,373,91,6.62,56.31,W.KARACHUONYO,NYANZA
HAMISI,SENENDE,KALWANI,1592,1854,3446,757,3.63,948.03,SHAMAKHOKHO,WESTERN
MWALA,MUTHETHENI,KALYAMBEU,1155,1322,2477,538,14.42,171.83,MASII,EASTERN
KIPKELION,LEMOTIT,KALYET,2546,2770,5316,972,27.94,190.27,LONDIANI,RIFT VALLEY
KERICHO,KOLYONGOWET,KALYONGOWET,1704,1622,3326,634,5.93,561.28,SIGOWET,RIFT VALLEY
MURANGA NORTH,KAMACHARIA,KAMACHARIA,2802,2989,5791,1747,9.61,602.36,MATHIOYA,CENTRAL
LARI,KAMAE,KAMAE,3215,3399,6614,1492,57.52,114.99,LARI,CENTRAL
HOMABAY,WEST GEM,KAMAGAWI,1550,1771,3321,728,10.19,325.93,RANGWE,NYANZA
KERICHO,KABENETI,KAMAGET,1176,1237,2413,439,5.7,423.32,SIGOWET,RIFT VALLEY
BOMET,KAMAGET,KAMAGIBOI,1711,1920,3631,669,10.04,361.76,SIONGIROI,RIFT VALLEY
THARAKA,MARAGWA,KAMAGUNA,1490,1712,3202,624,140.89,22.73,THARAKA NORTH,EASTERN
TANA RIVER,KAMAGURU,KAMAGURU,1039,870,1909,350,1312.87,1.45,BANGALE,COAST
MURANGA SOUTH,KAMAHUHA,KAMAHUHA,2126,2402,4528,1193,8.78,515.54,MAKUYU,CENTRAL
BARINGO,KIMORIOT,KAMAILEL,1846,1691,3537,822,46.14,76.66,MOCHONGOI,RIFT VALLEY
MERU SOUTH,KAMAINDI,KAMAINDI,832,1030,1862,443,18.5,100.65,IGAMBANG'OMBE,EASTERN
KYUSO,KANTHUNGU,KAMAINDI,1345,1483,2828,516,68.67,41.18,MUMONI,EASTERN
NYERI SOUTH,MUKARO,KAMAKWA,6843,7281,14124,4886,5.91,2388.07,MUNICIPALITY,CENTRAL
MALINDI,ADU,KAMALE,896,958,1854,232,198.66,9.33,MARAFA,COAST
BURET,NGESUMIN,KAMANAMSIM,1237,1176,2413,404,5.48,440.67,BURET,RIFT VALLEY
KITUI,MIAMBANI,KAMANDIO / MALILI,2476,2937,5413,1152,62.05,87.23,CENTRAL,EASTERN
MARAKWET,CHEBORORWA,KAMANIN,1182,1111,2293,410,7.87,291.36,KAPCHEROP,RIFT VALLEY
THARAKA,KAMANYAKI,KAMANYAKI,734,768,1502,282,25.98,57.81,THARAKA SOUTH,EASTERN
KOIBATEK,KAMAR,KAMAR,351,353,704,137,43.09,16.34,MOGOTIO,RIFT VALLEY
MOLO,KAMARA,KAMARA,1810,1711,3521,704,5.02,701.07,KAMARA,RIFT VALLEY
THARAKA,KAMARANDI,KAMARANDI,1300,1424,2724,513,34.78,78.32,THARAKA SOUTH,EASTERN
MBEERE,ISHIARA,KAMARANDI,2653,3188,5841,1205,88.2,66.22,EVURORE,EASTERN
NANDI SOUTH,KABOI,KAMARICH,1445,1425,2870,669,19.53,146.98,KAPTUMO,RIFT VALLEY
NYERI NORTH,GATARAKWA,KAMARIKI,3285,3253,6538,1809,88.36,73.99,KIENI WEST,CENTRAL
TIGANIA,KIMACHIA,KAMAROO,1782,1853,3635,808,6.98,521.01,URINGU,EASTERN
KOIBATEK,KAPNOSGEI,KAMASAI,153,148,301,56,4.44,67.78,KISANANA,RIFT VALLEY
MARAKWET,KAPTICH,KAMASAI,649,643,1292,261,9.72,132.99,KAPYEGO,RIFT VALLEY
NANDI NORTH,KAMASAI,KAMASAI,2136,2305,4441,840,12.04,368.74,KIPKAREN,RIFT VALLEY
KERICHO,SOLIAT,KAMASEGA,856,856,1712,353,14.48,118.27,SOIN,RIFT VALLEY
SUBA,RUSINGA WEST,KAMASENGRE EAST,1189,1271,2460,546,5.96,412.74,MBITA,NYANZA
SUBA,RUSINGA WEST,KAMASENGRE WEST,2013,1989,4002,893,5.11,782.99,MBITA,NYANZA
NANDI NORTH,KAMASIA,KAMASIA,909,923,1832,370,7.41,247.26,KABIYET,RIFT VALLEY
KYUSO,KATSE,KAMATHITU,799,887,1686,314,27.06,62.3,MUMONI,EASTERN
WEST POKOT,KAPENGURIA,KAMATIRA,1640,1610,3250,546,10.86,299.18,KAPENGURIA,RIFT VALLEY
NYERI NORTH,MWEIGA,KAMATONGU,4250,4464,8714,2915,37.46,232.62,KIENI WEST,CENTRAL
THARAKA,MARIMANTI,KAMATUNGU,1294,1379,2673,745,24.75,108.01,THARAKA CENTRAL,EASTERN
ELDORET EAST,KIMONING,KAMAUA,1575,1647,3222,610,18.3,176.02,MOIBEN,RIFT VALLEY
WEST POKOT,SEREWO,KAMAYECH,743,727,1470,301,25.49,57.68,KONGELAI,RIFT VALLEY
KISUMU EAST,KATHO,KAMAYOGA,1227,1319,2546,543,5.26,484.37,KADIBO,NYANZA
LARI,KIRENGA,KAMBAA,3212,3224,6436,1483,47.76,134.74,LARI,CENTRAL
MURANGA NORTH,GITUGI,KAMBARA,948,1063,2011,585,4.25,473.56,MATHIOYA,CENTRAL
SIAYA,SOUTH GEM,KAMBARE,2157,2670,4827,1069,12.17,396.59,WAGAI,NYANZA
IMENTI NORTH,GIAKI,KAMBEREU,1346,1339,2685,666,9.95,269.83,MIRIGA MIERU E.,EASTERN
TIGANIA,MULA,KAMBERIA,544,508,1052,197,31.46,33.44,KARAMA,EASTERN
MAKUENI,KIKUMINI,KAMBI MAWE,1578,1574,3152,614,30.07,104.83,WOTE,EASTERN
YATTA,KITHIMANI,KAMBI YA NDEKE,3272,3532,6804,1426,47.86,142.15,YATTA,EASTERN
RONGO,E. KAMAGAMBO,KAMBIJA,1427,1545,2972,659,11.47,259.16,RONGO,NYANZA
LAISAMIS,KARGI,KAMBINYE,1026,1253,2279,641,1620.26,1.41,LOIYANGALANI,EASTERN
MURANGA NORTH,GIKINDU,KAMBIRWA,3067,3090,6157,1711,19.11,322.17,KIHARU,CENTRAL
MURANGA SOUTH,KAMBITI,KAMBITI,2531,2525,5056,1289,20.32,248.8,MAKUYU,CENTRAL
IMENTI NORTH,MUNITHU,KAMBITI,1851,1920,3771,873,5.09,740.7,MIRIGA MIERU E.,EASTERN
MWALA,WAMUNYU,KAMBITI,1555,1603,3158,784,28.21,111.93,YATHUI,EASTERN
LAISAMIS,LOGOLOGO,KAMBOE,551,510,1061,290,323.03,3.28,LAISAMIS,EASTERN
KIBWEZI,MAKINDU,KAMBOO,1222,1266,2488,471,68.3,36.43,MAKINDU,EASTERN
KIBWEZI,KAMBU,KAMBU,3715,3950,7665,1520,37.82,202.65,MTITO ANDEI,EASTERN
NYERI NORTH,NAROMORU,KAMBURAINI,3224,3190,6414,1813,42.66,150.37,KIENI EAST,CENTRAL
LARI,KAMBURU,KAMBURU,2773,2885,5658,1501,9.94,568.96,GATAMAIYU,CENTRAL
KANGUNDO,MATUNGULU,KAMBUSU,2026,2171,4197,934,3.94,1065.47,MATUNGULU,EASTERN
HOMABAY,EAST KWABWAI,KAMDAR KANYOLO,2052,2345,4397,981,13.79,318.94,KOBAMA,NYANZA
HOMABAY,EAST KWABWAI,KAMDAR KAWANGA,1875,2046,3921,784,19.38,202.27,KOBAMA,NYANZA
HOMABAY,EAST KWABWAI,KAMDAR KODONDO,2246,2433,4679,1015,26.2,178.57,KOBAMA,NYANZA
RONGO,N. KAMAGAMBO,KAMEJI,2024,2231,4255,841,8.57,496.77,RONGO,NYANZA
POKOT CENTRAL,TAPACH,KAMELEI,1340,1413,2753,485,29.43,93.55,TAPACH,RIFT VALLEY
KEIYO,MARICHOR,KAMELIL,1146,1174,2320,403,5.26,441.35,CHEPKORIO,RIFT VALLEY
TINDERET,KAMELIL,KAMELIL,1235,1217,2452,444,6.61,370.68,TINDERET,RIFT VALLEY
THIKA WEST,MAKONGENI,KAMENU,18750,18727,37477,12164,33.29,1125.77,THIKA WEST,CENTRAL
HOMABAY,EAST KOCHIA,KAMENYA,4271,4780,9051,2002,25.73,351.83,RANGWE,NYANZA
RACHUONYO,KANYALUO SOUTH,KAMENYA CENTRAL,1251,1378,2629,598,9.31,282.48,EAST KARACHUONYO,NYANZA
RACHUONYO,KANYALUO SOUTH,KAMENYA NORTH,1634,1838,3472,772,12.03,288.67,EAST KARACHUONYO,NYANZA
RACHUONYO,KANYALUO SOUTH,KAMENYA SOUTH,1299,1291,2590,611,13.89,186.5,EAST KARACHUONYO,NYANZA
RONGO,KAMGUNDHO,KAMGUNDHO I,2905,3157,6062,1267,17.98,337.06,URIRI,NYANZA
RONGO,KAMGUNDHO,KAMGUNDHO II,2469,2652,5121,990,9.76,524.57,URIRI,NYANZA
KIRINYAGA,KUTUS,KAMIGUA,2780,2791,5571,1818,9.69,574.96,CENTRAL,CENTRAL
TINDERET,SOBA,KAMILET,478,483,961,203,8.37,114.87,TINDERET,RIFT VALLEY
NANDI SOUTH,MUGEN,KAMIMEI,2614,2901,5515,1076,12.61,437.43,ALDAI,RIFT VALLEY
